;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
16013;;3.0;;;;16.0;4.0;4.0;21.0;;1.0;;;1.0;27.0;;8.0;;;Yago;87747;Vitoria;VIT;12;1.36;Yago Felipe da Costa Rocha;6.4;mei;2.67;19;Suspenso;1.03
16014;;;;;;;;;;;;;;;;;;;;Lucas Vinicius;99388;Atletico-GO;ATL;0;0.0;Lucas Vinicius Santos Bernardino;0.0;ata;1.0;19;Nulo;0.0
16015;4.0;;;;;16.0;15.0;12.0;33.0;2.0;1.0;;;;94.0;;17.0;;;Gustavo Scarpa;87999;Fluminense;FLU;17;3.98;Gustavo Henrique Furtado Scarpa;1.7;mei;11.94;19;Provavel;-1.62
16016;1.0;2.0;;;;6.0;1.0;3.0;14.0;;3.0;;;2.0;34.0;;21.0;11.0;;Balbuena;87887;Corinthians;COR;16;6.98;Fabian Cornelio Balbuena Gonzalez;7.3;zag;11.89;19;Nulo;0.34
16017;;;;;;;;;;;;;;;;;;;;Warian Santos ;88030;Corinthians;COR;0;0.0;Warian dos Santos Souza;0.0;mei;1.0;19;Nulo;0.0
16018;;;;;;1.0;;;3.0;;;;;;2.0;;2.0;;;Junior;87946;Vitoria;VIT;3;1.27;Geremias Ribeiro Junior;1.1;ata;1.22;19;Nulo;0.05
16019;;;;;;4.0;;3.0;8.0;;;;;1.0;16.0;;11.0;;;eder Militao;99424;Sao Paulo;SAO;8;2.19;eder Gabriel Militao;4.6;mei;2.74;19;Provavel;0.28
16020;2.0;5.0;;;;15.0;6.0;5.0;49.0;;2.0;;;10.0;54.0;;27.0;;;angel Romero;88323;Corinthians;COR;15;4.48;angel Rodrigo Romero Villamayor;-0.2;ata;11.87;19;Nulo;-1.01
16021;;;;;;;;;;;;;;;;;;;;Ivan;88136;Ponte Preta;PON;0;0.0;Ivan Quaresma da Silva;0.0;gol;2.0;19;Nulo;0.0
16022;;;;;;;;;;;;;;;;;;;;Serginho;88002;Santos;SAN;1;0.0;Sergio Antonio Soler de Oliveira Junior;0.0;mei;1.58;19;Nulo;0.0
16023;;1.0;;;;8.0;;;6.0;;;;;;12.0;;4.0;3.0;;Ramon;88087;Vitoria;VIT;7;2.17;Ramon Menezes Roma;4.0;zag;4.51;19;Provavel;0.73
16024;;;;;;;;;;;;;;;1.0;;1.0;;;Jean Patrick;88379;Ponte Preta;PON;1;1.4;Jean Patrick Reis;0.0;lat;2.72;19;Provavel;0.0
16025;;;;;;;;;;;;;;;;;;;;Felipe;99425;Fluminense;FLU;0;0.0;Felipe Souza Moreno Sampaio;0.0;ata;1.0;19;Contundido;0.0
16026;;;;;;;;;;;;;;;;;;;;Matheus;94102;Avai;AVA;0;0.0;Matheus Gutz;0.0;gol;1.0;19;Nulo;0.0
16027;;;;;;;;;;;;;;;;;;;;Warleson;91204;Atletico-PR;ATL;0;0.0;Warleson Stellion Lisboa Oliveira;0.0;gol;1.0;19;Nulo;0.0
16028;;;;;;;;;;;;;;;;;;;;Diego;99430;Botafogo;BOT;0;0.0;Diego Terra Loureiro;0.0;gol;1.0;19;Nulo;0.0
16029;;;;;;;;;;;;;;;;;;;;Caio;99460;Atletico-PR;ATL;0;0.0;Caio Alan Tem Catem Goncalves;0.0;gol;1.0;19;Nulo;0.0
16030;;;;;;;;;;;;;;;;;;;;Lucas Crispim;88597;Santos;SAN;0;0.0;Lucas de Figueiredo Crispim;0.0;mei;3.0;19;Nulo;0.0
16031;;;;;;2.0;;1.0;4.0;;;;;1.0;6.0;;1.0;;;Iago;88417;Coritiba;COR;7;0.16;Iago angelo Dias;0.0;ata;4.72;19;Nulo;0.0
16032;;;;;;;;;;;;;;;;;;;;Joao Vitor ;88539;Atletico-GO;ATL;0;0.0;Joao Vitor Pereira de Alcantara;0.0;ata;1.0;19;Nulo;0.0
16033;;;;;;;;;;;;;;;;;;;;Daniel;99461;Atletico-PR;ATL;0;0.0;Daniel dos Santos Oliveira;0.0;zag;1.0;19;Nulo;0.0
16034;;;;;;;;;;;;;;;;;;;;Judivan ;89190;Cruzeiro;CRU;0;0.0;Judivan Flor da Silva;0.0;ata;4.0;19;Nulo;0.0
16035;;;;;;2.0;;;1.0;;1.0;;;;2.0;;;;;Vinicius Tanque;88651;Botafogo;BOT;2;3.45;Vinicius Rodolfo de Souza Oliveira;0.0;ata;1.91;19;Nulo;-1.02
16036;;2.0;;;;9.0;3.0;6.0;12.0;;;;;;16.0;;9.0;;;Bruno Paulista;88933;Vasco;VAS;6;2.53;Bruno Jacinto da Silva;-1.7;mei;5.79;19;Provavel;-0.73
16037;;;;;;;;;;;;;;;;;;;;Wenderson;99474;Botafogo;BOT;1;0.0;Wenderson Da Silva Costa Ferreira;0.0;mei;0.76;19;Nulo;0.0
16038;;;;;;2.0;;;2.0;;;;;;2.0;;4.0;;;Igor;88667;Sport;SPO;1;6.2;Igor Ribeiro de Jesus;0.0;zag;5.8;19;Nulo;0.0
16039;;4.0;;;;31.0;5.0;7.0;27.0;;1.0;;;;39.0;;45.0;;;Jean;89150;Vasco;VAS;18;4.04;Jean Carlos de Souza Irmer;2.3;mei;10.2;19;Provavel;-0.52
16040;;;;;;;;;;;;;;;;;;;;Fernando;99550;Botafogo;BOT;0;0.0;Fernando Peixoto Costanza;0.0;lat;1.0;19;Nulo;0.0
16041;1.0;1.0;;;;6.0;7.0;3.0;7.0;1.0;;;;2.0;23.0;;3.0;;;Vinicius Junior;99535;Flamengo;FLA;13;1.02;Vinicius Jose Paixao de Oliveira Junior;1.2;ata;2.54;19;Nulo;-0.05
16042;;;;;;;;;;;;;;;;;;;;Balbino;89227;Gremio;GRE;0;0.0;anderson Balbino Assis;0.0;mei;1.0;19;Nulo;0.0
16043;;;;;;;;1.0;1.0;;;;;;2.0;;1.0;;;Joao Pedro ;89273;Chapecoense;CHA;1;2.3;Joao Pedro Maturano dos Santos;0.0;lat;5.87;19;Contundido;0.0
16044;;;;;;;;;;;;;;;;;;;;Andreazzi;89253;Botafogo;BOT;0;0.0;Mauricio Andreazzi Pereira;0.0;mei;2.0;19;Nulo;0.0
16045;;;;;;;;;;;;;;;;;1.0;;;Bruno Cosendey;99615;Vasco;VAS;1;1.7;Bruno Cosendey Lobo Pinto;0.0;mei;2.21;19;Nulo;0.0
16046;;1.0;;;;11.0;3.0;4.0;10.0;1.0;1.0;;;1.0;12.0;;5.0;;;Paulo Vitor;99588;Vasco;VAS;8;2.4;Paulo Vitor Fernandes Pereira;-0.2;ata;2.12;19;Nulo;0.02
16047;;;;;;;;;;;;;;;;;;;;James Dean;89694;Sport;SPO;0;0.0;James Dean Araujo de Lima;0.0;ata;1.0;19;Nulo;0.0
16048;;1.0;;;;;;;;;;;;;;;;;;Saulo;89492;Botafogo;BOT;1;-2.0;Saulo Ferreira Silva Nascimento;0.0;gol;1.18;19;Nulo;0.0
16049;1.0;3.0;;;;12.0;1.0;2.0;10.0;;;;;1.0;19.0;;14.0;;;Matheus Sales;89285;Bahia;BAH;8;2.25;Matheus de Sales Cabral;0.0;mei;4.86;19;Nulo;0.0
